authenticity,delivery,price,service,quality,safety
bill,ẩu,bình_dân,bảo_hành,bị dồn bông,bẩn
có dấu vết tẩy xóa,bao kĩ,deal,cọc_cằn thô_lỗ,bị đi ngoài,bị đi ngoài
code,bị cấn,đáng đồng tiền,cskh,bị tràn,bị hăm
chính_hãng,bị méo,đáng giá tiền,chăm_sóc,có mùi thơm,bị mẩn đỏ
giả,bị móp,đáng mua,chăm_sóc khách_hàng,chắc_chắn,date
hàng công_ty,bị móp méo,đáng tiền,chế_độ hậu_mãi,chật chội,dị ứng
mã QR,bọc hàng,được giảm,chủ shop,chất_liệu,đóng cục
mã vạch,bọc xốp,flashsale,chu_đáo,chất_lượng,ghê ghê
niêm phong,đóng gói,giá,chuyên nghiệp,chất_lượng sản_phẩm,hạn sử_dụng
nhãn mác,đóng thùng,giá mềm,dịch_vụ,chứa được nhiều,hết hạn
quét mã,đóng_gói,giá ngon,đánh_giá thấp,dễ vận_động,hsd
quét mã_vạch,đúng hẹn,giá rẻ,hỗ trợ,đệm lưng,không bị hăm
tem,gói hàng,giá sale rất ổn,kỹ_thuật viên,đường may,không đảm_bảo
tem bảo_hành,gọn_gàng,giá tiền,không cho trả hàng,êm,mong shop gửi date xa hơn
tem chính_hãng,gửi hàng,giá_cả,không giải_đáp thắc_mắc,giữ dáng,mùi hắc
tem chống hàng giả,giao hàng,giá_thành,không tương_tác,hằn vết,mùi khó chịu
tem mác,kĩ lưỡng,hoàn xu,không thèm trả_lời,hôi,sờn rách
tem nhãn,kỹ càng,hời,không thiện chí,hơi nhỏ,tràn
vạch,không cẩn_thận,hợp túi tiền,không trả_lời,hút,
,miễn ship,khuyến_mãi,lịch_sự,khá nhạy,
,nguyên vẹn,khuyến_mại,lừa,không bị chảy xệ,
,nhanh_chóng,mắc,nhà bán hàng,không dày quá,
,nhăn nhúm,phù_hợp túi_tiền,nhắn tin,không đẹp,
,nhận hàng,quá hời rồi,nhân_viên,không đều,
,rất sơ_sài,quá ngon trong tầm giá,nhân_viên hỗ_trợ,không phủ hết mông,
,ship,rẻ,nhân_viên phục_vụ,lằn,
,ship hàng,rẻ hơn thị_trường,nhân_viên tư_vấn,mềm,
,shipper,sale,như bố đời,mềm_mại,
,tận nơi,siêu rẻ,phản_hồi,mịn_màng,
,tận nhà,tăng giá bất thường,phong_cách phục_vụ,mỏng,
,thời_gian giao hàng,tầm giá,phục_vụ,mùi,
,thùng nhỏ quá,tiết_kiệm,rep,mùi băng vệ_sinh,
,trầy_xước,ưu_đãi,shop,nhanh phải thay,
,vận_chuyển,vô_địch,tận_tâm,nhẹ,
,xấu,vừa túi tiền,tận_tình,nhỏ,
,xộc_xệch,xu,tin_tưởng,nhúm lại,
,,,tổng_đài,như túi ni lông,
,,,tư_vấn,ôm khít,
,,,thái_độ,ôm mông,
,,,thanh_toán,tã cũ,
,,,thờ_ơ,thành lưng,
,,,trả_lời,thấm hút,
,,,uy_tín,thấm hút tốt,
,,,xử_lý đơn hàng,thoáng mát,
,,,,thô cứng,
,,,,vạch nhận_biết,

