price,service,safety,quality,delivery,authenticity
xu,xử_lý,bẩn,mùi,xộc_xệch,bill
vô_địch,uy_tín,hăm,tràn,xấu,mã
ưu_đãi,trả_lời,mẩn,thơm,vận_chuyển,code
túi_tiền,thờ_ơ,date,chắc_chắn,trễ,chính_hãng
tiết_kiệm,thô_lỗ,dị_ứng,chật_chội,trầy_xước,giả
tiền,thiện_chí,ghê,chất_liệu,thùng,công_ty
sale,thắc_mắc,sử_dụng,chất_lượng,tận_tay,QR
rẻ,thanh_toán,hạn,vết,tận,vạch
price,thái_độ,hsd,vận_động,sớm,niêm_phong
mua,tương_tác,đảm_bảo,đệm,sơ_sài,nhãn
mắc,tư_vấn,hắc,may,shipper,mác
khuyến_mại,tổng_đài,khó_chịu,êm,ship,mã_vạch
khuyến_mãi,tin_tưởng,sờn,dáng,nhăn_nhúm,tem
hời,tận_tình,tràn,hằn,nhanh_chóng,bảo_hành
giảm,tận_tâm,rách,hôi,nhanh,quét
giá_thành,shop,,nhỏ,nguyên_vẹn,
giá_cả,bố_đời,,hút,móp,
giá,rep,,nhạy,méo,
flashsale,phục_vụ,,xệ,lâu,
đắt,phong_cách,,dày,kỹ,
đáng,phản_hồi,,đẹp,kĩ,
deal,nhân_viên,,đều,hàng,
bình_dân,nhắn_tin,,phủ,giao,
,lừa,,lằn,gửi,
,lịch_sự,,mềm,gọn_gàng,
,khách_hàng,,mềm_mại,gói_hàng,
,hỗ_trợ,,mịn_màng,gói,
,hậu_mãi,,mỏng,đúng_hẹn,
,giải_đáp,,mùi,đúng_giờ,
,đánh_giá,,nhẹ,đóng_gói,
,dịch_vụ,,nhỏ,dự_kiến,
,chuyên_nghiệp,,thô,cẩn_thận,
,chu_đáo,,khít,cấn,
,chế_độ,,ôm,bọc,
,chăm_sóc,,cũ,ẩu,
,cskh,,hút,xốp,
,cọc_cằn,,thấm,,
,bán_hàng,,mát,,
,bảo_hành,,thoáng,,
,,,cứng,,
,,,nhận_biết,,

